turbidity,pH,TDS,color_smell,cases_per_1000,abd_pain_per_1000,fever_per_1000,dehydr_per_1000,turbidity_score,pH_score,tds_score,color_score,cases_score,abd_score,fever_score,dehydr_score,risk_score,risk_category
9.23336421287833,9.06413087247556,880.972691960427,2,1,10,2,5,70,80,40,60,4,60,10,50,44.3,Moderate
1.97982034874378,5.62520297871481,1599.6863191652,3,23,13,8,0,40,80,100,90,92,78,40,0,61.3,High
3.47868780665227,5.57441796031296,356.310252297254,1,0,3,14,9,40,80,0,30,0,18,70,90,40.4,Moderate
12.5906337577375,8.66408771970716,445.904675436458,0,14,13,18,5,100,40,0,0,56,78,90,50,55.6,Moderate
12.8745938344208,9.33223009748858,1658.87506659559,3,5,6,3,5,100,80,100,90,20,36,15,50,61.8,High
11.8369363486437,9.17537030432284,1996.75923219897,3,14,10,19,7,100,80,100,90,56,60,95,70,81.2,Very High
0.779339671407717,6.60355048185341,286.791212879587,0,0,11,3,8,0,0,0,0,0,66,15,80,16.8,Low
10.8057958039255,8.58050252317362,1773.47383741056,2,20,4,11,4,100,40,100,60,80,24,55,40,68.7,High
2.30017579344853,7.36375374093417,159.685583613094,0,0,7,12,1,40,0,0,0,0,42,60,10,17.6,Low
8.51595007180446,5.71891266301434,1888.22008274568,3,16,13,17,0,70,80,100,90,64,78,85,0,66.2,High
14.7709621014647,6.05407231115453,1534.25513918394,2,24,13,15,7,100,40,100,60,96,78,75,70,81.1,Very High
0.3607058028841,8.01385051864366,395.00349198065,0,4,7,2,5,0,0,0,0,16,42,10,50,13.8,Low
14.1433348586086,8.38340631889851,1739.60890035999,2,7,13,12,9,100,0,100,60,28,78,60,90,65,High
4.54146268592573,5.39052181342189,104.626623562113,3,15,0,9,6,40,80,0,90,60,0,45,60,50.5,Moderate
10.2427467968753,5.11211426852795,1953.66571504168,3,17,8,19,7,100,80,100,90,68,48,95,70,83,Very High
8.52035708381102,7.41197871698188,289.091200046988,3,23,11,17,9,70,0,0,90,92,66,85,90,66.7,High
5.75733949833596,9.47054593953731,1131.10916131814,3,22,6,3,8,70,80,70,90,88,36,15,80,70.9,High
8.47971855543825,5.43145732305166,408.573541907788,0,16,6,11,1,70,80,0,0,64,36,55,10,43.6,Moderate
12.7237245463297,5.65145170883884,1549.34530419675,2,16,14,19,7,100,80,100,60,64,84,95,70,81,Very High
4.24304020356075,5.78860668970771,1067.985219987,3,7,4,4,6,40,80,70,90,28,24,20,60,49.8,Moderate
4.54766257444277,8.28845037747768,510.78655052619,0,0,11,0,0,40,0,40,0,0,66,0,0,15.3,Low
0.0589002918198594,8.41594468708593,319.138069849081,1,5,10,5,4,0,0,0,30,20,60,25,40,18.5,Low
10.7011081357319,5.87237718778829,1612.49024536537,1,24,6,10,9,100,80,100,30,96,36,50,90,80.5,Very High
2.38210739976381,7.47764116015035,362.049272087292,3,20,13,11,8,40,0,0,90,80,78,55,80,54.4,Moderate
0.850182306738758,7.48583261753921,822.800261040819,0,4,1,4,4,0,0,40,0,16,6,20,40,15.5,Low
0.163550987439817,9.00961659438272,724.058977033219,2,15,5,12,8,0,80,40,60,60,30,60,80,49.5,Moderate
10.9495271782901,5.74913846430504,1011.40908270158,2,21,13,19,9,100,80,70,60,84,78,95,90,84.7,Very High
5.15075870556356,5.25762966745609,467.549432709703,0,14,6,4,3,70,80,0,0,56,36,20,30,41.5,Moderate
12.5043295679322,5.84870654822115,1935.24524032326,2,22,4,18,7,100,80,100,60,88,24,90,70,82.3,Very High
0.559562350131851,8.20288439960038,1152.47546987844,0,7,1,7,1,0,0,70,0,28,6,35,10,17.9,Low
0.91716409544914,5.74265886557823,182.280908075433,0,3,0,7,3,0,80,0,0,12,0,35,30,18.4,Low
12.249003080961,5.74214043495591,1970.1275676363,3,20,14,15,4,100,80,100,90,80,84,75,40,80.7,Very High
11.2117469233368,9.40380351427297,1222.94651826362,2,15,12,10,1,100,80,70,60,60,72,50,10,63.1,High
5.39947300916303,5.96843045761193,871.049941482895,2,14,1,17,8,70,80,40,60,56,6,85,80,64,High
1.57427715763213,6.91827764598366,786.04165951297,1,16,11,15,8,40,0,40,30,64,66,75,80,50.6,Moderate
14.2444923572439,9.18521719406371,1975.18834113452,2,24,9,5,9,100,80,100,60,96,54,25,90,81.9,Very High
13.9258604943305,5.64340822455002,1531.91902189953,1,22,1,17,9,100,80,100,30,88,6,85,90,80.9,Very High
5.70945020064242,8.86926432022986,211.663034842829,3,18,11,16,9,70,40,0,90,72,66,80,90,66.2,High
13.7556977386968,9.43594399388886,981.658451554579,1,8,7,19,2,100,80,40,30,32,42,95,20,56,Moderate
10.4185446180783,5.80402011245283,1570.56885246051,3,15,9,11,9,100,80,100,90,60,54,55,90,80.7,Very High
10.3159561982352,5.90716034227382,1860.13621485446,2,23,8,14,8,100,80,100,60,92,48,70,80,83.8,Very High
0.76317572858877,6.84884687950942,492.37792797039,0,5,11,14,3,0,0,0,0,20,66,70,30,18.8,Low
13.9757289975062,9.2307303609802,1861.59326566383,3,24,9,8,8,100,80,100,90,96,54,40,80,84.9,Very High
14.0572518862224,8.02841172279475,765.892555747646,3,18,12,10,9,100,0,40,90,72,72,50,90,69.5,High
12.0733850550593,9.45939194204462,1166.72505361192,2,24,11,13,7,100,80,70,60,96,66,65,70,80.5,Very High
13.0566243842988,5.40020698622545,737.185443247221,0,10,7,17,7,100,80,40,0,40,42,85,70,61.1,High
12.3365515093675,9.21914910094702,1631.2757452042,1,10,5,17,1,100,80,100,30,40,30,85,10,60.5,High
6.55373631095812,5.62578995933507,1964.80659866243,1,0,6,14,3,70,80,100,30,0,36,70,30,48.3,Moderate
0.56465795550067,6.0629922146592,328.078190057896,0,0,9,10,4,0,40,0,0,0,54,50,40,17.7,Low
11.4635078175185,6.05425689771939,1796.15085336042,3,24,6,16,6,100,40,100,90,96,36,80,60,81,Very High
13.7630833306762,5.63439655139852,1575.3590308418,3,14,7,16,9,100,80,100,90,56,42,80,90,81.8,Very High
11.2245537890176,9.48114421150135,1670.94812369652,2,5,13,7,5,100,80,100,60,20,78,35,50,62.9,High
2.78175247471706,5.11334233499966,716.471909130557,3,24,9,4,2,40,80,40,90,96,54,20,20,55.9,Moderate
1.64754914943587,8.23940280722658,106.632500789001,2,24,7,8,7,40,0,0,60,96,42,40,70,49.8,Moderate
11.3514019545301,8.20888939609507,1856.65754323221,0,17,13,6,8,100,0,100,0,68,78,30,80,62.5,High
11.2611916433828,5.36473320445133,311.660169638196,3,2,5,15,6,100,80,0,90,8,30,75,60,56.6,Moderate
11.4795239731853,8.48177946290944,1322.46333984406,3,11,12,18,4,100,0,70,90,44,72,90,40,63.4,High
9.1325955994045,7.23929692664584,398.648410372262,0,0,8,0,1,70,0,0,0,0,48,0,10,17.9,Low
